bath,balcony,price,total_sqft_float,bhk,price_per_sqft
3.0,2.0,120.0,1680.0,3,0.07142857142857142
2.0,2.0,69.0,980.0,2,0.07040816326530612
2.0,2.0,72.0,1180.0,2,0.061016949152542375
3.0,1.0,115.0,1400.0,3,0.08214285714285714
2.0,1.0,83.0,1270.0,2,0.06535433070866142
4.0,0.0,188.0,2503.0,4,0.07510986815821015
3.0,2.0,190.0,2200.0,3,0.08636363636363636
2.0,2.0,110.0,1575.0,3,0.06984126984126984
3.0,2.0,140.0,1850.0,3,0.07567567567567568
2.0,2.0,120.0,1575.0,3,0.0761904761904762
3.0,2.0,150.0,1850.0,3,0.08108108108108109
3.0,2.0,120.0,1680.0,3,0.07142857142857142
2.0,2.0,82.5,1175.0,2,0.07021276595744681
2.0,2.0,90.0,1215.0,2,0.07407407407407407
2.0,1.0,75.0,1050.0,2,0.07142857142857142
3.0,2.0,89.13,1300.0,3,0.06856153846153845
2.0,2.0,73.0,1130.0,2,0.06460176991150443
3.0,2.0,100.0,1450.0,3,0.06896551724137931
2.0,1.0,50.0,1050.0,2,0.047619047619047616
2.0,1.0,87.0,1275.0,2,0.06823529411764706
3.0,2.0,110.0,1650.0,3,0.06666666666666667
2.0,2.0,42.0,850.0,2,0.04941176470588235
3.0,2.0,117.0,1680.0,3,0.06964285714285715
3.0,1.0,150.0,1850.0,3,0.08108108108108109
2.0,2.0,61.33,1236.0,2,0.049619741100323626
2.0,2.0,53.0,1000.0,2,0.053
3.0,2.0,125.0,1680.0,3,0.0744047619047619
2.0,2.0,135.0,1675.0,3,0.08059701492537313
2.0,1.0,59.0,1187.0,2,0.04970513900589722
3.0,2.0,155.0,1850.0,3,0.08378378378378379
2.0,1.0,61.0,1000.0,2,0.061
2.0,2.0,100.0,1460.0,3,0.0684931506849315
3.0,3.0,110.0,1650.0,3,0.06666666666666667
2.0,2.0,62.5,1200.0,2,0.052083333333333336
2.0,1.0,70.65,1000.0,2,0.07065
2.0,2.0,75.0,1080.0,2,0.06944444444444445
3.0,3.0,125.0,1680.0,3,0.0744047619047619
2.0,1.0,97.0,1460.0,3,0.06643835616438357
2.0,2.0,65.0,1120.0,2,0.05803571428571429
3.0,1.0,60.0,1100.0,2,0.05454545454545454
3.0,3.0,120.0,1790.0,3,0.0670391061452514
3.0,2.0,117.0,1680.0,3,0.06964285714285715
2.0,1.0,77.0,1050.0,2,0.07333333333333333
2.0,1.0,75.0,1050.0,2,0.07142857142857142
2.0,1.0,75.0,1040.0,2,0.07211538461538461
2.0,1.0,95.0,1400.0,3,0.06785714285714285
3.0,2.0,130.0,1800.0,3,0.07222222222222222
2.0,0.0,68.0,1050.0,2,0.06476190476190476
2.0,2.0,60.0,1000.0,2,0.06
3.0,2.0,125.0,1680.0,3,0.0744047619047619
2.0,1.0,77.47,1050.0,2,0.07378095238095238
2.0,1.0,80.0,1270.0,2,0.06299212598425197
3.0,2.0,122.0,1680.0,3,0.07261904761904762
2.0,2.0,85.0,1130.0,2,0.0752212389380531
3.0,3.0,130.0,1680.0,3,0.07738095238095238
2.0,1.0,77.44,980.0,2,0.0790204081632653
3.0,2.0,112.0,1680.0,3,0.06666666666666667
3.0,2.0,150.0,2095.0,3,0.07159904534606205
3.0,1.0,145.0,1976.0,3,0.07338056680161943
2.0,2.0,110.0,1600.0,3,0.06875
3.0,2.0,118.0,1765.0,3,0.06685552407932012
2.0,2.0,88.0,1275.0,3,0.06901960784313725
2.0,1.0,102.0,1450.0,3,0.0703448275862069
2.0,2.0,110.0,1575.0,3,0.06984126984126984
1.0,2.0,47.0,750.0,1,0.06266666666666666
2.0,2.0,50.0,990.0,2,0.050505050505050504
1.0,1.0,60.0,1000.0,1,0.06
2.0,1.0,102.0,1430.0,3,0.07132867132867132
2.0,1.0,60.0,1128.0,2,0.05319148936170213
2.0,1.0,57.0,1140.0,2,0.05
3.0,2.0,90.0,1420.0,3,0.06338028169014084
2.0,1.0,108.0,1530.0,2,0.07058823529411765
2.0,0.0,650.0,2800.0,2,0.23214285714285715
2.0,2.0,110.0,1100.0,2,0.1
2.0,0.0,54.005,1073.5,2,0.05030740568234746
2.0,1.0,42.47,1062.0,2,0.03999058380414312
3.0,2.0,73.31,1455.0,3,0.050384879725085915
2.0,1.0,43.91,1098.0,2,0.039990892531876134
3.0,1.0,80.0,1800.0,3,0.044444444444444446
4.0,2.0,130.0,2700.0,4,0.04814814814814815
2.0,2.0,38.0,1080.0,2,0.03518518518518519
2.0,2.0,34.5,1059.0,2,0.032577903682719546
2.0,2.0,35.0,1080.0,2,0.032407407407407406
2.0,1.0,42.47,1062.0,2,0.03999058380414312
1.0,1.0,31.0,500.0,1,0.062
2.0,2.0,35.0,1100.0,2,0.031818181818181815
4.0,3.0,92.0,2100.0,4,0.04380952380952381
2.0,1.0,39.33,1035.0,2,0.038
2.0,1.0,40.9,909.0,2,0.04499449944994499
3.0,0.0,72.02,1431.5,3,0.050310862731400625
4.0,1.0,90.0,1900.0,3,0.04736842105263158
1.0,1.0,30.0,500.0,1,0.06
2.0,2.0,36.94,1125.0,2,0.032835555555555555
2.0,3.0,35.0,1100.0,2,0.031818181818181815
2.0,1.0,43.55,1089.0,2,0.03999081726354453
2.0,2.0,65.0,1605.0,3,0.040498442367601244
2.0,2.0,83.0,1504.0,3,0.05518617021276596
4.0,2.0,115.0,2600.0,4,0.04423076923076923
2.0,1.0,43.55,1089.0,2,0.03999081726354453
2.0,3.0,62.0,1513.0,2,0.040978189028420355
2.0,1.0,59.0,1298.0,2,0.045454545454545456
2.0,0.0,44.0,1006.0,2,0.0437375745526839
2.0,1.0,59.0,1245.0,2,0.04738955823293173
2.0,3.0,80.0,1510.0,2,0.052980132450331126
3.0,2.0,165.0,3300.0,3,0.05
2.0,1.0,48.0,1046.0,2,0.045889101338432124
3.0,2.0,80.0,1408.0,3,0.056818181818181816
3.0,2.0,300.0,1846.0,3,0.16251354279523295
1.0,0.0,233.0,1410.0,2,0.1652482269503546
2.0,1.0,135.0,1165.0,2,0.11587982832618025
3.0,2.0,290.0,2400.0,3,0.12083333333333333
1.0,0.0,150.0,700.0,1,0.21428571428571427
4.0,1.0,240.0,1440.0,4,0.16666666666666666
2.0,1.0,50.0,1005.0,2,0.04975124378109453
2.0,1.0,45.0,1035.0,2,0.043478260869565216
4.0,3.0,290.0,5000.0,4,0.058
2.0,1.0,56.0,1164.0,2,0.048109965635738834
2.0,1.0,42.0,1005.0,2,0.041791044776119404
2.0,1.0,50.0,1127.0,2,0.044365572315882874
2.0,1.0,43.0,1005.0,2,0.042786069651741296
2.0,0.0,37.0,835.0,2,0.04431137724550898
2.0,2.0,39.0,1050.0,2,0.037142857142857144
2.0,2.0,71.0,1466.0,2,0.048431105047748974
2.0,1.5843757375501535,93.0,1890.0,3,0.049206349206349205
2.0,1.0,60.0,1079.0,2,0.05560704355885079
2.0,1.0,80.0,1480.0,2,0.05405405405405406
2.0,1.0,52.36,1073.0,2,0.0487977632805219
2.0,2.0,88.0,1719.3,3,0.05118362124120281
3.0,2.0,88.0,1780.0,3,0.04943820224719101
2.0,2.0,45.0,890.0,2,0.05056179775280899
2.0,2.0,69.0,1331.95,2,0.05180374638687638
2.0,1.0,35.0,600.0,1,0.058333333333333334
2.0,0.0,85.0,1500.0,1,0.056666666666666664
2.0,3.0,45.0,1100.0,2,0.04090909090909091
2.0,1.0,42.0,1028.0,2,0.04085603112840467
2.0,2.0,65.0,1199.0,2,0.05421184320266889
2.0,2.0,55.0,1080.0,2,0.05092592592592592
2.0,2.0,64.0,1123.0,2,0.05699020480854853
2.0,1.0,60.0,1308.0,2,0.045871559633027525
2.0,1.0,55.0,1005.0,2,0.05472636815920398
2.0,2.0,85.0,1450.0,3,0.05862068965517241
2.0,1.0,59.6,1490.0,3,0.04
2.0,1.0,46.79,1040.0,2,0.04499038461538461
3.0,0.0,110.0,1936.0,3,0.056818181818181816
2.0,1.0,48.38,1075.0,2,0.0450046511627907
2.0,1.0,46.0,1150.0,2,0.04
2.0,2.0,80.0,1650.0,3,0.048484848484848485
4.0,2.0,80.0,1200.0,3,0.06666666666666667
2.0,3.0,50.0,1310.0,3,0.03816793893129771
2.0,1.0,38.45,1100.0,2,0.03495454545454546
2.0,1.0,38.49,1100.0,2,0.03499090909090909
2.0,2.0,41.0,1190.0,2,0.034453781512605045
2.0,2.0,38.5,1100.0,2,0.035
2.0,1.0,40.39,985.0,2,0.04100507614213198
2.0,2.0,30.0,765.0,1,0.0392156862745098
2.0,1.0,35.0,880.0,2,0.03977272727272727
2.0,1.0,32.54,795.0,2,0.04093081761006289
2.0,1.0,39.59,1005.0,2,0.03939303482587065
2.0,1.0,41.82,1020.0,2,0.041
2.0,1.0,40.39,985.0,2,0.04100507614213198
6.0,0.0,81.0,2500.0,6,0.0324
2.0,1.0,32.54,795.0,2,0.04093081761006289
2.0,1.0,46.33,1130.0,2,0.041
1.0,1.0,32.6,795.0,2,0.041006289308176104
2.0,1.0,38.92,985.0,2,0.03951269035532995
2.0,1.0,41.0,1000.0,2,0.041
2.0,1.0,40.8,995.0,2,0.04100502512562814
2.0,1.0,40.8,1020.0,2,0.039999999999999994
1.0,0.0,41.0,1260.0,1,0.03253968253968254
1.0,1.0,41.0,1260.0,1,0.03253968253968254
1.0,0.0,72.0,800.0,1,0.09
1.0,0.0,120.0,1350.0,3,0.08888888888888889
3.0,1.0,113.0,2250.0,3,0.050222222222222224
2.0,0.0,51.0,1053.0,2,0.04843304843304843
2.0,3.0,57.0,1388.0,2,0.04106628242074928
2.0,1.0,54.0,1070.0,2,0.05046728971962617
2.0,1.5843757375501535,58.0,1280.0,2,0.0453125
3.0,3.0,85.1,1662.0,3,0.05120336943441636
3.0,2.0,120.0,1897.0,3,0.0632577754348972
2.0,2.0,75.0,1410.0,3,0.05319148936170213
2.0,2.0,85.0,1360.0,3,0.0625
2.0,2.0,80.0,1410.0,3,0.05673758865248227
3.0,2.0,85.0,1662.0,3,0.05114320096269555
3.0,2.0,85.5,1662.0,3,0.05144404332129964
2.0,1.0,60.0,1280.0,2,0.046875
3.0,1.5843757375501535,95.0,1666.0,3,0.05702280912364946
3.0,1.5843757375501535,90.0,1575.0,3,0.05714285714285714
2.0,2.0,75.0,1430.0,3,0.05244755244755245
2.0,3.0,73.0,1419.0,3,0.05144467935165609
2.0,1.0,60.0,1280.0,2,0.046875
2.0,1.0,50.0,1200.0,2,0.041666666666666664
2.0,1.0,60.0,1092.0,2,0.054945054945054944
3.0,2.0,85.0,1690.0,3,0.05029585798816568
4.0,2.0,93.0,1897.0,3,0.04902477596204533
3.0,3.0,98.0,1884.0,3,0.05201698513800425
2.0,2.0,68.8,1314.0,2,0.052359208523592084
3.0,2.0,85.0,1690.0,3,0.05029585798816568
2.0,3.0,67.0,1265.0,2,0.052964426877470355
2.0,1.0,55.0,1126.0,2,0.04884547069271759
3.0,1.5843757375501535,90.0,1662.0,3,0.05415162454873646
2.0,2.0,75.0,1420.0,3,0.0528169014084507
2.0,3.0,88.0,1412.0,3,0.06232294617563739
3.0,3.0,84.0,1434.0,3,0.058577405857740586
4.0,2.0,100.0,1890.0,3,0.05291005291005291
2.0,3.0,87.0,1419.0,3,0.0613107822410148
2.0,1.0,54.0,1300.0,2,0.04153846153846154
3.0,2.0,85.0,1690.0,3,0.05029585798816568
2.0,1.0,52.0,1113.0,2,0.04672057502246182
4.0,2.0,95.0,1820.0,3,0.0521978021978022
2.0,2.0,48.0,1100.0,2,0.04363636363636364
3.0,2.0,102.0,1896.0,3,0.05379746835443038
2.0,2.0,66.0,1300.0,2,0.05076923076923077
2.0,0.0,68.0,1225.0,2,0.05551020408163265
2.0,1.0,51.0,1179.0,2,0.043256997455470736
2.0,2.0,73.0,1421.0,3,0.05137227304714989
4.0,2.0,95.0,1893.0,3,0.050184891706286316
2.0,1.0,45.0,900.0,2,0.05
4.0,3.0,170.0,4000.0,4,0.0425
2.0,1.0,49.0,1300.0,3,0.03769230769230769
2.0,2.0,49.0,1280.0,3,0.03828125
2.0,1.0,49.0,1260.0,3,0.03888888888888889
2.0,2.0,52.0,1427.0,2,0.036440084092501754
3.0,2.0,108.0,1693.0,3,0.0637920850561134
2.0,1.0,76.0,1210.0,2,0.0628099173553719
3.0,2.0,67.23,1519.0,3,0.04425938117182357
3.0,2.0,70.39,1595.0,3,0.04413166144200627
2.0,1.0,50.0,1230.0,2,0.04065040650406504
1.0,1.0,40.0,595.0,1,0.06722689075630252
2.0,2.0,44.0,1145.0,2,0.03842794759825328
2.0,2.0,60.0,1205.0,2,0.04979253112033195
2.0,2.0,75.0,1410.0,2,0.05319148936170213
6.0,0.0,130.0,2400.0,6,0.05416666666666667
2.0,1.0,75.0,1380.0,2,0.05434782608695652
2.0,1.0,58.0,1320.0,3,0.04393939393939394
2.0,1.5843757375501535,43.79,1240.0,2,0.035314516129032254
2.0,2.0,38.0,1050.0,2,0.03619047619047619
2.0,2.0,46.41,1190.0,2,0.039
1.0,1.0,20.0,530.0,1,0.03773584905660377
1.0,1.0,15.0,425.0,1,0.03529411764705882
2.0,1.0,55.0,975.0,2,0.05641025641025641
2.0,2.0,60.0,1013.0,2,0.059230009871668314
3.0,1.0,61.0,1355.0,3,0.045018450184501846
2.0,2.0,38.0,1100.0,2,0.034545454545454546
2.0,1.0,75.0,1105.0,2,0.06787330316742081
3.0,3.0,110.0,1800.0,3,0.06111111111111111
2.0,2.0,80.0,1150.0,2,0.06956521739130435
2.0,2.0,66.25,1250.0,2,0.053
2.0,1.0,79.0,1332.0,2,0.05930930930930931
3.0,1.0,120.0,1730.0,3,0.06936416184971098
2.0,2.0,66.25,1230.0,2,0.05386178861788618
2.0,1.0,77.0,1351.0,2,0.05699481865284974
2.0,2.0,80.0,1303.0,2,0.06139677666922486
2.0,2.0,112.0,1607.0,3,0.06969508400746734
1.0,2.0,43.82,770.0,1,0.05690909090909091
2.0,2.0,76.0,1700.0,2,0.04470588235294118
2.0,1.0,58.5,1060.0,2,0.05518867924528302
3.0,3.0,100.0,1650.0,3,0.06060606060606061
2.0,2.0,112.0,1607.0,3,0.06969508400746734
2.0,2.0,80.0,1198.0,2,0.0667779632721202
2.0,1.0,140.0,1468.0,2,0.09536784741144415
1.0,1.0,142.0,1463.0,2,0.09706083390293917
3.0,1.0,190.0,1910.0,3,0.09947643979057591
2.0,1.0,145.0,1464.0,2,0.09904371584699453
4.0,2.0,130.0,1935.0,3,0.06718346253229975
2.0,2.0,90.0,1424.0,2,0.06320224719101124
4.0,2.0,169.0,2225.0,3,0.07595505617977528
3.0,2.0,120.0,1862.0,3,0.0644468313641246
4.0,3.0,139.0,1850.0,3,0.07513513513513513
4.0,2.0,126.0,1936.0,3,0.06508264462809918
3.0,2.0,119.0,1862.0,3,0.06390977443609022
2.0,2.0,90.0,1424.0,2,0.06320224719101124
4.0,2.0,125.0,2150.0,3,0.05813953488372093
4.0,2.0,290.0,3530.0,4,0.0821529745042493
3.0,1.0,120.0,1856.0,3,0.06465517241379311
3.0,2.0,130.0,1852.0,3,0.07019438444924406
4.0,2.0,120.0,1850.0,3,0.06486486486486487
2.0,2.0,86.0,1367.0,2,0.06291148500365765
4.0,3.0,255.0,3565.0,4,0.07152875175315568
2.0,2.0,95.0,1409.0,2,0.06742370475514549
4.0,2.0,120.0,1950.0,3,0.06153846153846154
4.0,3.0,129.0,1921.0,3,0.06715252472670484
4.0,2.0,121.0,1920.0,3,0.06302083333333333
4.0,2.0,125.0,1935.0,3,0.06459948320413436
4.0,2.0,122.0,1852.0,3,0.06587473002159827
4.0,2.0,120.0,1950.0,3,0.06153846153846154
3.0,2.0,125.0,1852.0,3,0.06749460043196544
4.0,2.0,121.0,1850.0,3,0.0654054054054054
2.0,1.0,94.0,1425.0,2,0.06596491228070175
4.0,2.0,150.0,2395.0,3,0.06263048016701461
3.0,2.0,100.0,1605.0,3,0.06230529595015576
2.0,1.0,80.0,1300.0,3,0.06153846153846154
2.0,2.0,83.0,1175.0,2,0.07063829787234042
2.0,1.0,40.0,900.0,2,0.044444444444444446
2.0,2.0,55.0,1200.0,2,0.04583333333333333
3.0,1.0,135.0,1900.0,3,0.07105263157894737
2.0,1.0,45.0,924.0,2,0.048701298701298704
2.0,1.0,60.0,900.0,2,0.06666666666666667
2.0,1.0,45.0,1100.0,2,0.04090909090909091
2.0,1.0,55.0,1200.0,2,0.04583333333333333
2.0,1.0,85.0,1450.0,3,0.05862068965517241
2.0,2.0,55.0,1200.0,2,0.04583333333333333
2.0,2.0,79.0,1250.0,2,0.0632
2.0,2.0,50.0,1190.0,2,0.04201680672268908
2.0,1.0,65.0,1202.0,2,0.054076539101497505
2.0,1.0,75.0,1340.0,2,0.055970149253731345
4.0,0.0,175.0,2650.0,3,0.0660377358490566
2.0,1.0,90.0,1450.0,3,0.06206896551724138
2.0,1.0,42.0,1025.0,2,0.04097560975609756
1.0,1.0,19.5,485.0,1,0.04020618556701031
2.0,1.0,67.5,1350.0,2,0.05
3.0,2.0,60.0,1365.0,2,0.04395604395604396
2.0,1.0,51.0,1000.0,2,0.051
2.0,2.0,55.0,1060.0,2,0.05188679245283019
2.0,3.0,55.0,1135.0,2,0.048458149779735685
3.0,1.0,420.0,3515.0,3,0.11948790896159317
2.0,2.0,75.0,1080.0,3,0.06944444444444445
2.0,0.0,70.0,1200.0,2,0.058333333333333334
3.0,3.0,125.0,2010.0,3,0.06218905472636816
2.0,1.0,43.76,1167.0,2,0.037497857754927165
2.0,1.0,55.0,1000.0,2,0.055
2.0,1.0,42.79,1141.0,2,0.03750219106047327
2.0,1.0,58.0,1200.0,2,0.04833333333333333
2.0,1.0,43.1,1151.0,2,0.03744569939183319
2.0,1.0,42.75,1141.0,2,0.037467134092900964
2.0,0.0,48.0,900.0,2,0.05333333333333334
4.0,0.0,90.0,1749.0,4,0.051457975986277875
2.0,1.0,42.9,1151.0,2,0.03727193744569939
2.0,2.0,45.0,1250.0,2,0.036
2.0,1.0,43.16,1151.0,2,0.037497827975673324
2.0,0.0,58.0,1200.0,2,0.04833333333333333
